format=1 tracks=8 division=96

BA   60   CR         0   TR  4   CH  4   NT  C'          71/96   voff=0
BA   60   CR         0   TR  4   CH  4   NT  F'          71/96   voff=0
BA   60   CR         0   TR  6   CH  6   NT  D'          23/96   voff=0
BA   60   CR       1/4   TR  6   CH  6   NT  A-          71/96   voff=0
BA   60   CR       1/4   TR  6   CH  6   NT  F           71/96   voff=0
BA   60   CR       1/4   TR  6   CH  6   NT  C'          71/96   voff=0
BA   60   CR       1/4   TR  6   CH  6   NT  F'          71/96   voff=0
BA   60   CR       3/4   TR  4   CH  4   NT  G-          71/96   voff=0
BA   60   CR       3/4   TR  4   CH  4   NT  G           71/96   voff=0
BA   60   CR       3/4   TR  4   CH  4   NT  C'          71/96   voff=0
BA   60   CR       3/4   TR  4   CH  4   NT  E'          71/96   voff=0
BA   60   CR         1   TR  6   CH  6   NT  G-          71/96   voff=0
BA   60   CR         1   TR  6   CH  6   NT  G           71/96   voff=0
BA   60   CR         1   TR  6   CH  6   NT  C'          71/96   voff=0
BA   60   CR         1   TR  6   CH  6   NT  E'          71/96   voff=0
BA   60   CR     1+1/2   TR  4   CH  4   NT  G-          47/96   voff=0
BA   60   CR     1+1/2   TR  4   CH  4   NT  F           47/96   voff=0
BA   60   CR     1+1/2   TR  4   CH  4   NT  B           47/96   voff=0
BA   60   CR     1+1/2   TR  4   CH  4   NT  D'          47/96   voff=0
BA   60   CR     1+3/4   TR  6   CH  6   NT  G-          47/96   voff=0
BA   60   CR     1+3/4   TR  6   CH  6   NT  F           47/96   voff=0
BA   60   CR     1+3/4   TR  6   CH  6   NT  B           47/96   voff=0
BA   60   CR     1+3/4   TR  6   CH  6   NT  D'          47/96   voff=0
BA   60   CR         2   TR  4   CH  4   NT  F-          47/96   voff=0
BA   60   CR         2   TR  4   CH  4   NT  C           47/96   voff=0
BA   60   CR         2   TR  4   CH  4   NT  A           47/96   voff=0
BA   60   CR         2   TR  4   CH  4   NT  C'          47/96   voff=0
BA   60   CR     2+1/4   TR  6   CH  6   NT  C'          47/96   voff=0
BA   60   CR     2+1/4   TR  6   CH  6   NT  A           47/96   voff=0
BA   60   CR     2+1/4   TR  6   CH  6   NT  C           47/96   voff=0
BA   60   CR     2+1/4   TR  6   CH  6   NT  F-          47/96   voff=0
BA   60   CR         3   TR  1   CH  1   NT  C''         47/96   voff=0
BA   60   CR         3   TR  1   CH  1   NT  A'          47/96   voff=0
BA   60   CR         3   TR  1   CH  1   NT  F#'         47/96   voff=0
BA   60   CR         3   TR  1   CH  1   NT  Eb'         47/96   voff=0
BA   60   CR         3   TR  1   CH  1   NT  C'          47/96   voff=0
BA   60   CR         3   TR  2   CH  2   NT  C''         47/96   voff=0
BA   60   CR         3   TR  2   CH  2   NT  A'          47/96   voff=0
BA   60   CR         3   TR  2   CH  2   NT  F#'         47/96   voff=0
BA   60   CR         3   TR  2   CH  2   NT  Eb'         47/96   voff=0
BA   60   CR         3   TR  2   CH  2   NT  C'          47/96   voff=0
BA   60   CR         3   TR  3   CH  3   NT  C'          47/96   voff=0
BA   60   CR         3   TR  3   CH  3   NT  Eb'         47/96   voff=0
BA   60   CR         3   TR  3   CH  3   NT  F#'         47/96   voff=0
BA   60   CR         3   TR  3   CH  3   NT  A'          47/96   voff=0
BA   60   CR         3   TR  3   CH  3   NT  C''         47/96   voff=0
BA   60   CR         3   TR  5   CH  5   NT  C'          47/96   voff=0
BA   60   CR         3   TR  5   CH  5   NT  C           47/96   voff=0
BA   60   CR         3   TR  7   CH 10   NT  B---        23/96   voff=0

BA   61   CR         0   TR  1   CH  1   Instrument 62
BA   61   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   61   CR         0   TR  2   CH  2   Instrument 62
BA   61   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   61   CR         0   TR  3   CH  3   Instrument 62
BA   61   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   61   CR         0   TR  4   CH  4   Instrument 3
BA   61   CR         0   TR  5   CH  5   Instrument 56
BA   61   CR         0   TR  6   CH  6   Instrument 3
BA   61   CR         0   TR  7   CH 10   Instrument 1
BA   61   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   61   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   61   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   61   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   61   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   61   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   61   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   61   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   61   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   61   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   61   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   61   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   61   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   61   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   61   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   61   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   61   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   61   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   61   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR         3   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   61   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   61   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   61   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   62   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   62   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   62   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   62   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   62   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   62   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   62   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   62   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   62   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   62   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   62   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   62   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   62   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   62   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   62   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   62   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   62   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   62   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   62   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   62   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   62   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   62   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   63   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   63   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   63   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   63   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   63   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   63   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   63   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   63   CR         1   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   63   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   63   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   63   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   63   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   63   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   63   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   63   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   63   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   63   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   63   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   63   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   63   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   63   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   63   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   63   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   63   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   63   CR     3+1/2   TR  4   CH  4   NT  C'          23/96   voff=0
BA   63   CR     3+3/4   TR  4   CH  4   NT  D'          23/96   voff=0
BA   63   CR     3+3/4   TR  6   CH  6   NT  C'          23/96   voff=0

BA   64   CR         0   TR  4   CH  4   NT  A-          71/96   voff=0
BA   64   CR         0   TR  4   CH  4   NT  F           71/96   voff=0
BA   64   CR         0   TR  4   CH  4   NT  C'          71/96   voff=0
BA   64   CR         0   TR  4   CH  4   NT  F'          71/96   voff=0
BA   64   CR         0   TR  6   CH  6   NT  D'          23/96   voff=0
BA   64   CR       1/4   TR  6   CH  6   NT  A-          71/96   voff=0
BA   64   CR       1/4   TR  6   CH  6   NT  F           71/96   voff=0
BA   64   CR       1/4   TR  6   CH  6   NT  C'          71/96   voff=0
BA   64   CR       1/4   TR  6   CH  6   NT  F'          71/96   voff=0
BA   64   CR       3/4   TR  4   CH  4   NT  G-          71/96   voff=0
BA   64   CR       3/4   TR  4   CH  4   NT  G           71/96   voff=0
BA   64   CR       3/4   TR  4   CH  4   NT  C'          71/96   voff=0
BA   64   CR       3/4   TR  4   CH  4   NT  E'          71/96   voff=0
BA   64   CR         1   TR  6   CH  6   NT  G-          71/96   voff=0
BA   64   CR         1   TR  6   CH  6   NT  G           71/96   voff=0
BA   64   CR         1   TR  6   CH  6   NT  C'          71/96   voff=0
BA   64   CR         1   TR  6   CH  6   NT  E'          71/96   voff=0
BA   64   CR     1+1/2   TR  4   CH  4   NT  G-          47/96   voff=0
BA   64   CR     1+1/2   TR  4   CH  4   NT  F           47/96   voff=0
BA   64   CR     1+1/2   TR  4   CH  4   NT  B           47/96   voff=0
BA   64   CR     1+1/2   TR  4   CH  4   NT  D'          47/96   voff=0
BA   64   CR     1+3/4   TR  6   CH  6   NT  G-          47/96   voff=0
BA   64   CR     1+3/4   TR  6   CH  6   NT  F           47/96   voff=0
BA   64   CR     1+3/4   TR  6   CH  6   NT  B           47/96   voff=0
BA   64   CR     1+3/4   TR  6   CH  6   NT  D'          47/96   voff=0
BA   64   CR         2   TR  4   CH  4   NT  F-          47/96   voff=0
BA   64   CR         2   TR  4   CH  4   NT  C           47/96   voff=0
BA   64   CR         2   TR  4   CH  4   NT  A           47/96   voff=0
BA   64   CR         2   TR  4   CH  4   NT  C'          47/96   voff=0
BA   64   CR     2+1/4   TR  6   CH  6   NT  C'          47/96   voff=0
BA   64   CR     2+1/4   TR  6   CH  6   NT  A           47/96   voff=0
BA   64   CR     2+1/4   TR  6   CH  6   NT  C           47/96   voff=0
BA   64   CR     2+1/4   TR  6   CH  6   NT  F-          47/96   voff=0
BA   64   CR         3   TR  1   CH  1   NT  C''         47/96   voff=0
BA   64   CR         3   TR  1   CH  1   NT  A'          47/96   voff=0
BA   64   CR         3   TR  1   CH  1   NT  F#'         47/96   voff=0
BA   64   CR         3   TR  1   CH  1   NT  Eb'         47/96   voff=0
BA   64   CR         3   TR  1   CH  1   NT  C'          47/96   voff=0
BA   64   CR         3   TR  2   CH  2   NT  C''         47/96   voff=0
BA   64   CR         3   TR  2   CH  2   NT  A'          47/96   voff=0
BA   64   CR         3   TR  2   CH  2   NT  F#'         47/96   voff=0
BA   64   CR         3   TR  2   CH  2   NT  Eb'         47/96   voff=0
BA   64   CR         3   TR  2   CH  2   NT  C'          47/96   voff=0
BA   64   CR         3   TR  3   CH  3   NT  C'          47/96   voff=0
BA   64   CR         3   TR  3   CH  3   NT  Eb'         47/96   voff=0
BA   64   CR         3   TR  3   CH  3   NT  F#'         47/96   voff=0
BA   64   CR         3   TR  3   CH  3   NT  A'          47/96   voff=0
BA   64   CR         3   TR  3   CH  3   NT  C''         47/96   voff=0
BA   64   CR         3   TR  5   CH  5   NT  C'          47/96   voff=0
BA   64   CR         3   TR  5   CH  5   NT  C           47/96   voff=0
BA   64   CR         3   TR  7   CH 10   NT  B---        23/96   voff=0

BA   65   CR         0   TR  1   CH  1   Instrument 62
BA   65   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   65   CR         0   TR  2   CH  2   Instrument 62
BA   65   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   65   CR         0   TR  3   CH  3   Instrument 62
BA   65   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   65   CR         0   TR  4   CH  4   Instrument 3
BA   65   CR         0   TR  5   CH  5   Instrument 56
BA   65   CR         0   TR  6   CH  6   Instrument 3
BA   65   CR         0   TR  7   CH 10   Instrument 1
BA   65   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   65   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   65   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   65   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   65   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   65   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   65   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   65   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   65   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   65   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   65   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   65   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   65   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   65   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   65   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   65   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   65   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   65   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   65   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR         3   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   65   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   65   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   65   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   66   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   66   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   66   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   66   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   66   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   66   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   66   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   66   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   66   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   66   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   66   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   66   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   66   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   66   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   66   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   66   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   66   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   66   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   66   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   66   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   66   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   66   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   67   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   67   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   67   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   67   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   67   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   67   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   67   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   67   CR         1   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   67   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   67   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   67   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   67   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   67   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   67   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   67   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   67   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   67   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   67   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   67   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   67   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   67   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   67   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   67   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   67   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   67   CR     3+1/2   TR  4   CH  4   NT  C'          23/96   voff=0
BA   67   CR     3+3/4   TR  4   CH  4   NT  D'          23/96   voff=0
BA   67   CR     3+3/4   TR  6   CH  6   NT  C'          23/96   voff=0

BA   68   CR         0   TR  4   CH  4   NT  A-          71/96   voff=0
BA   68   CR         0   TR  4   CH  4   NT  F           71/96   voff=0
BA   68   CR         0   TR  4   CH  4   NT  C'          71/96   voff=0
BA   68   CR         0   TR  4   CH  4   NT  F'          71/96   voff=0
BA   68   CR         0   TR  6   CH  6   NT  D'          23/96   voff=0
BA   68   CR       1/4   TR  6   CH  6   NT  A-          71/96   voff=0
BA   68   CR       1/4   TR  6   CH  6   NT  F           71/96   voff=0
BA   68   CR       1/4   TR  6   CH  6   NT  C'          71/96   voff=0
BA   68   CR       1/4   TR  6   CH  6   NT  F'          71/96   voff=0
BA   68   CR       3/4   TR  4   CH  4   NT  G-          71/96   voff=0
BA   68   CR       3/4   TR  4   CH  4   NT  G           71/96   voff=0
BA   68   CR       3/4   TR  4   CH  4   NT  C'          71/96   voff=0
BA   68   CR       3/4   TR  4   CH  4   NT  E'          71/96   voff=0
BA   68   CR         1   TR  6   CH  6   NT  G-          71/96   voff=0
BA   68   CR         1   TR  6   CH  6   NT  G           71/96   voff=0
BA   68   CR         1   TR  6   CH  6   NT  C'          71/96   voff=0
BA   68   CR         1   TR  6   CH  6   NT  E'          71/96   voff=0
BA   68   CR     1+1/2   TR  4   CH  4   NT  G-          47/96   voff=0
BA   68   CR     1+1/2   TR  4   CH  4   NT  F           47/96   voff=0
BA   68   CR     1+1/2   TR  4   CH  4   NT  B           47/96   voff=0
BA   68   CR     1+1/2   TR  4   CH  4   NT  D'          47/96   voff=0
BA   68   CR     1+3/4   TR  6   CH  6   NT  G-          47/96   voff=0
BA   68   CR     1+3/4   TR  6   CH  6   NT  F           47/96   voff=0
BA   68   CR     1+3/4   TR  6   CH  6   NT  B           47/96   voff=0
BA   68   CR     1+3/4   TR  6   CH  6   NT  D'          47/96   voff=0
BA   68   CR         2   TR  4   CH  4   NT  F-          47/96   voff=0
BA   68   CR         2   TR  4   CH  4   NT  C           47/96   voff=0
BA   68   CR         2   TR  4   CH  4   NT  A           47/96   voff=0
BA   68   CR         2   TR  4   CH  4   NT  C'          47/96   voff=0
BA   68   CR     2+1/4   TR  6   CH  6   NT  C'          47/96   voff=0
BA   68   CR     2+1/4   TR  6   CH  6   NT  A           47/96   voff=0
BA   68   CR     2+1/4   TR  6   CH  6   NT  C           47/96   voff=0
BA   68   CR     2+1/4   TR  6   CH  6   NT  F-          47/96   voff=0
BA   68   CR         3   TR  1   CH  1   NT  C''         47/96   voff=0
BA   68   CR         3   TR  1   CH  1   NT  A'          47/96   voff=0
BA   68   CR         3   TR  1   CH  1   NT  F#'         47/96   voff=0
BA   68   CR         3   TR  1   CH  1   NT  Eb'         47/96   voff=0
BA   68   CR         3   TR  1   CH  1   NT  C'          47/96   voff=0
BA   68   CR         3   TR  2   CH  2   NT  C''         47/96   voff=0
BA   68   CR         3   TR  2   CH  2   NT  A'          47/96   voff=0
BA   68   CR         3   TR  2   CH  2   NT  F#'         47/96   voff=0
BA   68   CR         3   TR  2   CH  2   NT  Eb'         47/96   voff=0
BA   68   CR         3   TR  2   CH  2   NT  C'          47/96   voff=0
BA   68   CR         3   TR  3   CH  3   NT  C'          47/96   voff=0
BA   68   CR         3   TR  3   CH  3   NT  Eb'         47/96   voff=0
BA   68   CR         3   TR  3   CH  3   NT  F#'         47/96   voff=0
BA   68   CR         3   TR  3   CH  3   NT  A'          47/96   voff=0
BA   68   CR         3   TR  3   CH  3   NT  C''         47/96   voff=0
BA   68   CR         3   TR  5   CH  5   NT  C'          47/96   voff=0
BA   68   CR         3   TR  5   CH  5   NT  C           47/96   voff=0
BA   68   CR         3   TR  7   CH 10   NT  B---        23/96   voff=0

BA   69   CR         0   TR  1   CH  1   Instrument 62
BA   69   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   69   CR         0   TR  2   CH  2   Instrument 62
BA   69   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   69   CR         0   TR  3   CH  3   Instrument 62
BA   69   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   69   CR         0   TR  4   CH  4   Instrument 3
BA   69   CR         0   TR  5   CH  5   Instrument 56
BA   69   CR         0   TR  6   CH  6   Instrument 3
BA   69   CR         0   TR  7   CH 10   Instrument 1
BA   69   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   69   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   69   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   69   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   69   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   69   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   69   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   69   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   69   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   69   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   69   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   69   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   69   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   69   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   69   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   69   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   69   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   69   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   69   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   69   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   69   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   69   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   69   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   69   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   69   CR         3   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   69   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   69   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
